Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2023-12-31,626,12.837782340862423,365,7.824411397399652,7.824774663028198,6.569327224990245,6.552450230439213,712.8900671384413,700.9595838917794,44.22042466779399
2024-01-31,598,12.922655715263518,31,10.332202465452388,10.331880481016649,6.544361856860798,6.5611441992596955,695.3128282335641,707.0802726444532,43.46037216861419
2024-02-29,624,13.00205338809035,60,11.836876652524134,11.836780575539567,6.525855978747863,6.562147112129029,682.5637837578743,707.7897682712181,42.1726825090748
2024-03-31,718,13.086926762491444,91,10.231758882587524,10.231549859450189,6.538992622412232,6.555834723242128,691.5895352050755,703.3359957645944,41.55942684879247
2024-04-30,680,13.169062286105408,121,10.13154182536324,10.131463174783914,6.525260451497221,6.541005500496162,682.1574194368685,692.9830226132001,40.054091351277194
2024-05-31,730,13.253935660506503,152,7.021779836404849,7.02177983640485,6.5500481407873545,6.517825733299517,699.2778367912405,677.1045777585157,39.638292004693874
2024-06-30,732,13.336071184120465,182,6.0186277207742,6.019184652278177,6.545543763213537,6.498296485884941,696.135108715937,664.0095194434859,38.57031292303177
2024-07-31,688,13.42094455852156,213,4.814985221125426,4.814677669629003,6.5552364201246345,6.490237611402814,702.9153135059854,658.6798544666567,37.161507869100596
2024-08-31,684,13.505817932922655,244,5.818152495547422,5.818503092263032,6.535735603934972,6.495595489164121,689.3406795804136,662.2184518316262,37.757111380835006
2024-09-30,718,13.587953456536619,274,6.118948852060413,6.118660627053912,6.537663144255359,6.507216044902312,690.6706929501906,669.9586840605291,37.75853146579956
2024-10-31,788,13.672826830937714,305,5.416834045453992,5.416777688959943,6.555194532569404,6.517965247317284,702.8858707186159,677.1990499285499,37.24668145095988
2024-11-30,702,13.754962354551678,335,7.623644674004386,7.624054602471868,6.546284046390576,6.531537344300155,696.6506366206397,686.4527148852861,37.928025214028395
2024-12-31,740,13.839835728952773,366,10.63306111867263,10.63316013855582,6.530273142237518,6.546702628448951,685.5854482628579,696.9423031170076,36.99798941465725
